2016-05-16 23:50:41.687660	procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
2016-05-16 23:50:41.687744	 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
2016-05-16 23:50:41.688653	 3  1      0 745016 109084 690816    0    0    19   214   93  469  2  1 93  5  0	
2016-05-16 23:50:46.689060	 0  1      0 720204 109100 715628    0    0     0  7001  902 5317  9  4 50 38  0	
2016-05-16 23:50:51.689280	 0  2      0 696516 109108 739704    0    0     0  7517  967 6747 11  5 50 34  0	
2016-05-16 23:50:56.689580	 0  2      0 680320 109144 755744    0    0     1  9210  840 6041 10  4 50 36  0	
2016-05-16 23:51:01.689778	 0  1      0 668036 109168 767436    0    0     0  9325 1027 6838 11  5 50 34  0	
2016-05-16 23:51:06.690087	 0  1      0 658488 109204 777304    0    0     0  8858 1011 6622 11  4 50 35  0	
2016-05-16 23:51:11.690317	 0  1      0 649932 109220 785772    0    0     0  5549 1030 6700 11  4 50 35  0	
2016-05-16 23:51:16.690573	 0  1      0 643376 109248 792076    0    0     0  7773  794 5587  9  4 50 37  0	
2016-05-16 23:51:21.690788	 0  1      0 637036 109264 798540    0    0     0  4712  875 6495 11  4 50 35  0	
2016-05-16 23:51:26.691052	 1  0      0 632200 109300 803344    0    0     0  7327  884 5796  9  4 50 37  0	
2016-05-16 23:51:31.691335	 2  0      0 627116 109316 808452    0    0     0  4437  990 6482 10  4 50 35  0	
2016-05-16 23:51:36.691580	 0  1      0 624528 109332 811108    0    0     0  4425  866 6673 10  4 50 35  0	
2016-05-16 23:51:41.691815	 1  0      0 625116 109360 811336    0    0     0  7457  970 6313 11  4 50 35  0	
