2016-05-17 01:55:47.734053	procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
2016-05-17 01:55:47.734200	 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
2016-05-17 01:55:47.734641	 5  0      0 6890488  16276 258136    0    0   147    69   82   64  0  1 96  3  0	
2016-05-17 01:55:52.735097	 4  1      0 6791660  16516 271508    0    0     2 15241 3934 13340 11  6 61 22  0	
2016-05-17 01:55:57.735346	 0  1      0 6768896  16572 272600    0    0     0  7893 3708 15576 10  5 64 21  0	
2016-05-17 01:56:02.735584	 0  2      0 6779792  16836 261504    0    0   288  4406 4262 19277 11  5 62 22  0	
2016-05-17 01:56:07.735861	 0  1      0 6772748  16864 267428    0    0   430  4187 4443 19852 11  6 62 22  0	
2016-05-17 01:56:12.736097	 1  1      0 6771656  16880 268972    0    0     0  3686 3795 17353 10  5 65 20  0	
2016-05-17 01:56:17.736394	 0  1      0 6771928  16904 270264    0    0     0  3977 4073 18422 10  5 64 20  0	
2016-05-17 01:56:22.736662	 0  1      0 6772440  16932 271672    0    0     2  4020 4121 19010 10  5 64 20  0	
2016-05-17 01:56:27.736904	 0  1      0 6769192  16952 273000    0    0     1  4177 4108 18652 11  5 64 20  0	
2016-05-17 01:56:32.737161	 0  1      0 6767216  16984 275176    0    0     0  4266 4338 19927 11  5 64 20  0	
2016-05-17 01:56:37.737498	 0  1      0 6765392  17024 276372    0    0     0  3734 3982 17858 10  6 64 20  0	
2016-05-17 01:56:42.737727	 0  1      0 6764144  17040 277724    0    0     0  3897 4169 18909 11  5 64 20  0	
2016-05-17 01:56:47.737985	 0  1      0 6768488  17056 279032    0    0     0  3900 4193 19104 11  5 64 20  0	
2016-05-17 01:56:52.738228	 0  1      0 6816528  17088 281804    0    0   180  4002 3959 17161 10  5 64 20  0	
2016-05-17 01:56:57.738567	 0  0      0 6847900  17112 281932    0    0     0   278  174  188  0  0 99  0  0	
2016-05-17 01:57:02.738845	 0  0      0 6848012  17120 281956    0    0     0    69   95   76  0  0 100  0  0	
2016-05-17 01:57:07.739107	 0  0      0 6848184  17144 282012    0    0     0    90  205  144  1  0 99  0  0	
2016-05-17 01:57:12.739352	 0  0      0 6848372  17160 282024    0    0     0    14   98  106  0  0 100  0  0	
2016-05-17 01:57:17.739679	 0  0      0 6847480  17176 282048    0    0     0    12  193  185  0  0 100  0  0	
2016-05-17 01:57:22.739963	 0  0      0 6847480  17192 282064    0    0     0    33  138  141  0  0 100  0  0	
2016-05-17 01:57:27.740311	 0  0      0 6847240  17200 282084    0    0     0    37  155  139  0  0 100  0  0	
2016-05-17 01:57:32.740536	procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
2016-05-17 01:57:32.740608	 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
2016-05-17 01:57:32.740644	 1  0      0 6847240  17216 282104    0    0     0    36  116  119  0  0 100  0  0	
2016-05-17 01:57:37.740956	 1  0      0 6847364  17224 282124    0    0     0    16  116  120  0  0 100  0  0	
2016-05-17 01:57:42.741219	 1  0      0 6848432  17380 279804    0    0     2  6270  461  587  2  1 95  2  0	
2016-05-17 01:57:47.741486	 2  0      0 6841888  17408 275724    0    0     0  5510 1170 6357  5  2 75 17  0	
2016-05-17 01:57:52.741725	 1  1      0 6838788  17424 279480    0    0     0  4014 1182 6624  5  2 75 18  0	
2016-05-17 01:57:57.742069	 2  1      0 6836556  17440 281272    0    0     0  3788 1116 6972  5  2 75 17  0	
2016-05-17 01:58:02.742729	 0  1      0 6835176  17456 282668    0    0     0  3565 1089 6747  5  2 75 17  0	
2016-05-17 01:58:07.743135	 0  1      0 6850056  17472 267508    0    0     0  3806 1262 7183  6  2 75 17  0	
2016-05-17 01:58:12.743372	 0  1      0 6849436  17488 268552    0    0     0  3550 1146 6809  5  2 75 17  0	
2016-05-17 01:58:17.743680	 2  0      0 6848444  17504 269572    0    0     0  3762 1116 6624  5  2 75 18  0	
2016-05-17 01:58:22.743936	 0  1      0 6847700  17544 270644    0    0     0  3697 1170 7080  6  2 75 17  0	
2016-05-17 01:58:27.744322	 2  0      0 6846196  17584 271612    0    0     0  3742 1048 7138  6  2 75 17  0	
2016-05-17 01:58:32.744567	 0  1      0 6845468  17600 272732    0    0     0  3286  962 6313  5  2 75 18  0	
2016-05-17 01:58:37.744823	 0  1      0 6844352  17616 273732    0    0     0  3281 1032 6309  5  2 75 18  0	
2016-05-17 01:58:42.745058	 0  1      0 6843360  17632 274588    0    0     0  3201  974 6150  5  2 75 18  0	
2016-05-17 01:58:47.745353	 0  1      0 6832896  17848 283260    0    0   448  6447 1570 3751  8  3 78 11  0	
2016-05-17 01:58:52.745591	 0  1      0 6842012  17872 273896    0    0     0  4726 1672 7467  6  3 70 22  0	
2016-05-17 01:58:57.745990	 0  1      0 6838788  17896 277276    0    0     0  4345 1801 8462  6  3 69 22  0	
2016-05-17 01:59:02.746234	 1  1      0 6836820  17912 278948    0    0     0  3644 1568 7630  6  3 69 22  0	
2016-05-17 01:59:07.746657	 0  1      0 6835456  17928 280612    0    0     0  4349 1985 9163  7  3 68 22  0	
2016-05-17 01:59:12.746885	 2  0      0 6834340  17944 282072    0    0     0  4248 1856 9050  7  3 68 21  0	
2016-05-17 01:59:17.747317	procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
2016-05-17 01:59:17.747452	 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
2016-05-17 01:59:17.747527	 1  1      0 6832852  17960 283488    0    0     0  4443 1960 9456  7  3 68 21  0	
2016-05-17 01:59:22.747505	 1  1      0 6831364  17976 284920    0    0     0  4466 1784 8891  7  3 69 22  0	
2016-05-17 01:59:27.747978	 1  1      0 6829628  17992 286464    0    0     0  4556 1885 9650  7  3 68 21  0	
2016-05-17 01:59:32.748209	 0  1      0 6844136  18008 271684    0    0     0  4584 1949 9745  8  3 68 21  0	
2016-05-17 01:59:37.748491	 0  1      0 6842648  18024 273184    0    0     0  4407 1996 9389  7  3 68 21  0	
2016-05-17 01:59:42.748718	 1  1      0 6841160  18040 274872    0    0     0  4426 1933 9389  7  3 68 21  0	
2016-05-17 01:59:47.749019	 2  0      0 6841768  18088 284812    0    0     0  7038 1975 7370 11  3 70 16  0	
2016-05-17 01:59:52.749296	 2  1      0 6840716  18136 272504    0    0     0  5038 2031 7799  6  4 75 15  0	
2016-05-17 01:59:57.749689	 1  1      0 6834252  18160 278860    0    0     0  5203 2400 10403  7  4 68 21  0	
2016-05-17 02:00:02.750077	 0  1      0 6831740  18184 280748    0    0     1  3719 2114 8856  7  4 68 21  0	
2016-05-17 02:00:07.750362	 0  1      0 6830136  18200 282184    0    0     0  3770 2192 9220  7  3 68 21  0	
2016-05-17 02:00:12.750613	 3  0      0 6829144  18216 283616    0    0     0  3962 2220 9781  8  3 68 21  0	
2016-05-17 02:00:17.750927	 1  1      0 6827904  18232 284896    0    0     0  3614 1955 8871  7  3 69 21  0	
2016-05-17 02:00:22.751286	 0  1      0 6826648  18248 286136    0    0     0  3594 1947 8676  7  3 69 21  0	
2016-05-17 02:00:27.751556	 0  1      0 6825160  18264 287368    0    0     0  3972 2070 9105  7  3 68 22  0	
2016-05-17 02:00:32.751846	 2  0      0 6839916  18280 272180    0    0     0  3549 1782 8551  7  3 69 21  0	
2016-05-17 02:00:37.752097	 0  1      0 6839296  18296 273460    0    0     0  3905 2014 9441  7  3 69 21  0	
2016-05-17 02:00:42.752360	 0  1      0 6838056  18312 274664    0    0     0  3596 2011 8920  7  3 69 21  0	
2016-05-17 02:00:47.752621	 0  1      0 6836444  18328 275928    0    0     0  3705 2172 9220  7  3 69 22  0	
2016-05-17 02:00:52.752954	 6  0      0 6827900  18412 279388    0    0     1  5691 1658 4114  9  3 77 10  0	
2016-05-17 02:00:57.753241	 0  1      0 6833992  18436 273248    0    0     0  4981 1835 8608  6  3 70 21  0	
2016-05-17 02:01:02.753546	procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
2016-05-17 02:01:02.753624	 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
2016-05-17 02:01:02.753659	 1  1      0 6827636  18716 277584    0    0   107  3865 2304 9181  7  4 66 23  0	
2016-05-17 02:01:07.753842	 0  1      0 6825668  18732 280136    0    0     0  3649 2250 9584  7  3 69 21  0	
2016-05-17 02:01:12.754110	 0  1      0 6824800  18748 281324    0    0     0  3210 2059 8895  7  4 68 21  0	
2016-05-17 02:01:17.754361	 0  1      0 6823436  18764 282596    0    0     0  3195 2041 8966  7  3 69 21  0	
2016-05-17 02:01:22.754616	 6  0      0 6822196  18780 283784    0    0     0  3383 2161 9474  7  4 68 21  0	
2016-05-17 02:01:27.754901	 0  1      0 6820864  18796 284872    0    0     0  3529 2022 9071  7  3 69 21  0	
2016-05-17 02:01:32.755161	 0  1      0 6819996  18812 285996    0    0     0  3243 2084 9142  7  3 69 21  0	
2016-05-17 02:01:37.755398	 1  1      0 6819004  18828 287188    0    0     0  3456 2108 9670  7  3 69 21  0	
2016-05-17 02:01:42.755665	 0  1      0 6817888  18844 288184    0    0     0  2972 1866 8341  6  3 69 22  0	
2016-05-17 02:01:47.755974	 2  1      0 6816308  18860 289536    0    0     0  3886 2477 10917  8  3 68 21  0	
2016-05-17 02:01:52.756280	 0  1      0 6850244  18900 273344    0    0     0  6758 2443 9838  8  4 68 20  0	
2016-05-17 02:01:57.756635	 0  1      0 6811684  18948 283904    0    0     0  4325 2245 7450 10  4 75 11  0	
2016-05-17 02:02:02.756876	 0  1      0 6821496  18972 274008    0    0     0  5044 3047 13083  9  4 66 21  0	
2016-05-17 02:02:07.757134	 0  1      0 6817760  18988 277104    0    0     0  4010 2924 12098  9  4 66 21  0	
2016-05-17 02:02:12.757393	 0  1      0 6816768  19004 278928    0    0     0  4027 2966 12974  9  4 66 21  0	
2016-05-17 02:02:17.757647	 0  1      0 6815016  19020 280488    0    0     0  3973 2955 12897  9  4 67 21  0	
2016-05-17 02:02:22.757903	 0  1      0 6813404  19036 281968    0    0     0  4018 2959 12946  9  4 66 20  0	
2016-05-17 02:02:27.758164	 0  1      0 6811544  19060 283348    0    0     0  3986 2999 13046  9  4 66 21  0	
2016-05-17 02:02:32.758501	 0  1      0 6810428  19076 284816    0    0     0  4240 2977 12909  9  4 66 21  0	
2016-05-17 02:02:37.758774	 1  1      0 6809204  19092 286160    0    0     0  3821 2861 12502  8  4 67 21  0	
2016-05-17 02:02:42.759121	 0  1      0 6807592  19108 287756    0    0     0  4519 3364 14937 10  5 65 20  0	
2016-05-17 02:02:47.759383	procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
2016-05-17 02:02:47.759440	 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
2016-05-17 02:02:47.759472	 1  1      0 6805732  19124 289240    0    0     0  4176 3010 13493  9  4 67 20  0	
2016-05-17 02:02:52.759759	 1  1      0 6804492  19140 290620    0    0     0  3876 2945 12622  9  4 67 21  0	
2016-05-17 02:02:57.760136	 0  0      0 6848336  19240 276236    0    0     0  5918 2184 6375 10  3 71 15  0	
2016-05-17 02:03:02.760377	 0  1      0 6785516  19260 287492    0    0     0  5490 3216 13968  9  5 71 16  0	
2016-05-17 02:03:07.760670	 0  1      0 6795560  19284 276456    0    0     0  4883 3857 16492 10  5 65 20  0	
2016-05-17 02:03:12.760939	 0  1      0 6793584  19300 279044    0    0     0  4448 3696 16904 10  5 65 20  0	
2016-05-17 02:03:17.761198	 2  1      0 6792096  19316 280640    0    0     0  3875 3353 15072  9  4 66 21  0	
2016-05-17 02:03:22.761457	 8  0      0 6790268  19332 282284    0    0     0  4250 3792 17022 10  5 65 20  0	
2016-05-17 02:03:27.761709	 0  1      0 6788888  19356 283712    0    0     0  3958 3491 15545  9  5 66 20  0	
2016-05-17 02:03:32.761960	 5  0      0 6787508  19372 285288    0    0     0  4626 3830 17346 10  5 64 20  0	
2016-05-17 02:03:37.762204	 6  0      0 6786144  19388 286660    0    0     0  4041 3461 15553 10  4 66 20  0	
2016-05-17 02:03:42.762446	 2  1      0 6784656  19404 288112    0    0     0  3970 3469 15449  9  5 65 20  0	
2016-05-17 02:03:47.762709	 0  1      0 6783044  19420 289524    0    0     0  4022 3588 16028 10  5 65 20  0	
2016-05-17 02:03:52.762989	 7  0      0 6781680  19436 290972    0    0     0  4102 3629 16263 10  5 65 20  0	
2016-05-17 02:03:57.763285	 0  1      0 6796436  19452 275932    0    0     0  3798 3436 15072  9  5 66 20  0	
2016-05-17 02:04:02.763575	 1  1      0 6748988  19536 281428    0    0     1  6278 2362 6928 11  4 76  9  0	
2016-05-17 02:04:07.763887	 0  1      0 6753392  19560 275572    0    0     0  5926 4448 20337 11  6 64 19  0	
2016-05-17 02:04:12.764128	 2  0      0 6750160  19576 279432    0    0     0  4265 4043 19293 11  6 65 19  0	
2016-05-17 02:04:17.764391	 0  1      0 6747896  19592 281488    0    0     0  3894 3953 18948 10  5 65 19  0	
2016-05-17 02:04:22.764641	 0  1      0 6746376  19608 282976    0    0     0  3565 3780 17752  9  5 66 20  0	
2016-05-17 02:04:27.764905	 0  1      0 6745012  19632 284264    0    0     0  3825 3966 18972 10  6 65 19  0	
2016-05-17 02:04:32.765026	procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
2016-05-17 02:04:32.765092	 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
2016-05-17 02:04:32.765198	 4  0      0 6743632  19648 285900    0    0     0  3797 3987 19031 11  5 65 19  0	
2016-05-17 02:04:37.765585	 0  1      0 6742268  19664 287064    0    0     0  3813 3602 16954  9  5 66 20  0	
2016-05-17 02:04:42.765918	 0  1      0 6740532  19680 288740    0    0     0  3427 3663 17262 10  5 66 19  0	
2016-05-17 02:04:47.766277	 0  1      0 6738796  19696 290092    0    0     0  3950 4125 19836 11  6 65 19  0	
2016-05-17 02:04:52.766500	 0  1      0 6737680  19712 291456    0    0     0  3899 4057 19420 11  6 65 19  0	
2016-05-17 02:04:57.766755	 0  1      0 6736192  19728 292892    0    0     0  3561 3812 17847  9  5 66 20  0	
2016-05-17 02:05:02.767010	 1  0      0 6844760  19784 276592    0    0     0  6619 3658 15636  9  5 67 18  0	
2016-05-17 02:05:07.767402	 1  0      0 6827420  19832 284420    0    0     0  3502 1132 3471  8  2 79 10  0	
2016-05-17 02:05:12.767751	 0  1      0 6821868  19856 290436    0    0     0  4138  786 5908  5  2 75 18  0	
2016-05-17 02:05:17.768138	 0  1      0 6835636  19872 277044    0    0     0  3760  866 6449  5  2 75 18  0	
